Updated On,State,Total Individuals Registered,Total Sessions Conducted,Total Sites ,First Dose Administered,Second Dose Administered,Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Covaxin Administered,Total CoviShield Administered,Total Individuals Vaccinated,Total Doses Administered
16/01/2021,India,6943622.0,3455.0,2957.0,48276.0,0.0,23757.0,24517.0,2.0,579.0,47697.0,48276.0,48276
17/01/2021,India,7119567.0,8532.0,4954.0,58604.0,0.0,27348.0,31252.0,4.0,635.0,57969.0,58604.0,58604
18/01/2021,India,7150780.0,13611.0,6583.0,99449.0,0.0,41361.0,58083.0,5.0,1299.0,98150.0,99449.0,99449
19/01/2021,India,7423057.0,17855.0,7951.0,195525.0,0.0,81901.0,113613.0,11.0,3017.0,192508.0,195525.0,195525
20/01/2021,India,7555207.0,25472.0,10504.0,251280.0,0.0,98111.0,153145.0,24.0,3946.0,247334.0,251280.0,251280
21/01/2021,India,7755870.0,32226.0,12600.0,365965.0,0.0,132784.0,233143.0,38.0,5367.0,360598.0,365965.0,365965
22/01/2021,India,8058775.0,36988.0,14115.0,549381.0,0.0,193899.0,355402.0,80.0,8128.0,541253.0,549381.0,549381
23/01/2021,India,8314768.0,43076.0,15605.0,759008.0,0.0,267856.0,491049.0,103.0,11192.0,747816.0,759008.0,759008
24/01/2021,India,8443150.0,49851.0,18111.0,835058.0,0.0,296283.0,538647.0,128.0,13156.0,821902.0,835058.0,835058
25/01/2021,India,8802225.0,55151.0,19682.0,1277104.0,0.0,444137.0,832766.0,201.0,18858.0,1258246.0,1277104.0,1277104
26/01/2021,India,8884622.0,60821.0,21467.0,1293784.0,0.0,449119.0,844448.0,217.0,19604.0,1274180.0,1293784.0,1293784
27/01/2021,India,9119686.0,69495.0,23737.0,1726490.0,0.0,586081.0,1140137.0,272.0,27377.0,1699113.0,1726490.0,1726490
28/01/2021,India,9420417.0,78523.0,25610.0,2295491.0,0.0,771229.0,1523939.0,323.0,36921.0,2258570.0,2295491.0,2295491
29/01/2021,India,9731289.0,83664.0,26219.0,2814803.0,0.0,939069.0,1875368.0,366.0,43604.0,2771199.0,2814803.0,2814803
30/01/2021,India,9950757.0,87822.0,26643.0,3067736.0,0.0,1022380.0,2044950.0,406.0,48300.0,3019436.0,3067736.0,3067736
31/01/2021,India,10025789.0,91593.0,27011.0,3127107.0,0.0,1061307.0,2065391.0,409.0,58890.0,3068217.0,3127107.0,3127107
01/02/2021,India,10207981.0,97432.0,27751.0,3350265.0,0.0,1152344.0,2197431.0,490.0,69372.0,3280893.0,3350265.0,3350265
02/02/2021,India,10366074.0,106461.0,29522.0,3527971.0,0.0,1218507.0,2308898.0,566.0,76794.0,3451177.0,3527971.0,3527971
03/02/2021,India,10690308.0,116568.0,31167.0,3825835.0,0.0,1324273.0,2500887.0,675.0,86001.0,3739834.0,3825835.0,3825835
04/02/2021,India,11080747.0,126714.0,32505.0,4314304.0,0.0,1504527.0,2809042.0,735.0,99015.0,4215289.0,4314304.0,4314304
05/02/2021,India,11532388.0,137110.0,33947.0,4765924.0,0.0,1710466.0,3054631.0,827.0,133911.0,4632013.0,4765924.0,4765924
06/02/2021,India,11994578.0,145121.0,34814.0,5111827.0,0.0,1896705.0,3214244.0,878.0,195504.0,4916323.0,5111827.0,5111827
07/02/2021,India,12215616.0,153231.0,35778.0,5168099.0,0.0,1928947.0,3238273.0,879.0,206130.0,4961969.0,5168099.0,5168099
08/02/2021,India,12607193.0,164116.0,36740.0,5615499.0,0.0,2211020.0,3403576.0,903.0,290785.0,5324714.0,5615499.0,5615499
09/02/2021,India,12968689.0,175556.0,38131.0,6002474.0,0.0,2458329.0,3543208.0,937.0,363692.0,5638782.0,6002474.0,6002474
10/02/2021,India,13358469.0,187224.0,39339.0,6462270.0,0.0,2785194.0,3676114.0,962.0,480760.0,5981510.0,6462270.0,6462270
11/02/2021,India,13831942.0,197650.0,40332.0,6958553.0,0.0,3153649.0,3803908.0,996.0,609108.0,6349445.0,6958553.0,6958553
12/02/2021,India,14353766.0,207633.0,40799.0,7423817.0,0.0,3504429.0,3918381.0,1007.0,740517.0,6683300.0,7423817.0,7423817
