Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
1,30-01-2020,6:00 PM,Kerala,1,0,0,0,1
2,31-01-2020,6:00 PM,Kerala,1,0,0,0,1
3,01-02-2020,6:00 PM,Kerala,2,0,0,0,2
4,02-02-2020,6:00 PM,Kerala,3,0,0,0,3
5,03-02-2020,6:00 PM,Kerala,3,0,0,0,3
6,04-02-2020,6:00 PM,Kerala,3,0,0,0,3
7,05-02-2020,6:00 PM,Kerala,3,0,0,0,3
8,06-02-2020,6:00 PM,Kerala,3,0,0,0,3
9,07-02-2020,6:00 PM,Kerala,3,0,0,0,3
10,08-02-2020,6:00 PM,Kerala,3,0,0,0,3
11,09-02-2020,6:00 PM,Kerala,3,0,0,0,3
12,10-02-2020,6:00 PM,Kerala,3,0,0,0,3
13,11-02-2020,6:00 PM,Kerala,3,0,0,0,3
14,12-02-2020,6:00 PM,Kerala,3,0,0,0,3
15,13-02-2020,6:00 PM,Kerala,3,0,0,0,3
16,14-02-2020,6:00 PM,Kerala,3,0,0,0,3
17,15-02-2020,6:00 PM,Kerala,3,0,0,0,3
18,16-02-2020,6:00 PM,Kerala,3,0,0,0,3
19,17-02-2020,6:00 PM,Kerala,3,0,0,0,3
20,18-02-2020,6:00 PM,Kerala,3,0,0,0,3
21,19-02-2020,6:00 PM,Kerala,3,0,0,0,3
22,20-02-2020,6:00 PM,Kerala,3,0,0,0,3
23,21-02-2020,6:00 PM,Kerala,3,0,0,0,3
24,22-02-2020,6:00 PM,Kerala,3,0,0,0,3
25,23-02-2020,6:00 PM,Kerala,3,0,0,0,3
26,24-02-2020,6:00 PM,Kerala,3,0,0,0,3
27,25-02-2020,6:00 PM,Kerala,3,0,0,0,3
28,26-02-2020,6:00 PM,Kerala,3,0,0,0,3
29,27-02-2020,6:00 PM,Kerala,3,0,0,0,3
30,28-02-2020,6:00 PM,Kerala,3,0,0,0,3
31,29-02-2020,6:00 PM,Kerala,3,0,0,0,3
32,01-03-2020,6:00 PM,Kerala,3,0,0,0,3
33,02-03-2020,6:00 PM,Telengana,1,0,0,0,1
34,02-03-2020,6:00 PM,Kerala,3,0,0,0,3
35,02-03-2020,6:00 PM,Delhi,1,0,0,0,1
36,03-03-2020,6:00 PM,Telengana,1,0,0,0,1
37,03-03-2020,6:00 PM,Rajasthan,0,1,0,0,1
38,03-03-2020,6:00 PM,Kerala,3,0,3,0,3
39,03-03-2020,6:00 PM,Delhi,1,0,0,0,1
40,04-03-2020,6:00 PM,Uttar Pradesh,6,0,0,0,6
41,04-03-2020,6:00 PM,Kerala,3,0,3,0,3
42,04-03-2020,6:00 PM,Haryana,0,2,0,0,2
43,04-03-2020,6:00 PM,Delhi,1,0,0,0,1
44,04-03-2020,6:00 PM,Telengana,1,0,0,0,1
45,04-03-2020,6:00 PM,Rajasthan,1,14,0,0,15
46,05-03-2020,6:00 PM,Delhi,2,0,0,0,2
47,05-03-2020,6:00 PM,Haryana,0,2,0,0,2
48,05-03-2020,6:00 PM,Kerala,3,0,3,0,3
49,05-03-2020,6:00 PM,Rajasthan,1,14,0,0,15
50,05-03-2020,6:00 PM,Telengana,1,0,0,0,1
51,05-03-2020,6:00 PM,Uttar Pradesh,7,0,0,0,7
52,06-03-2020,6:00 PM,Delhi,3,0,0,0,3
53,06-03-2020,6:00 PM,Haryana,0,2,0,0,2
54,06-03-2020,6:00 PM,Kerala,3,0,3,0,3
55,06-03-2020,6:00 PM,Rajasthan,1,14,0,0,15
56,06-03-2020,6:00 PM,Uttar Pradesh,7,0,0,0,7
57,06-03-2020,6:00 PM,Telengana,1,0,0,0,1
58,07-03-2020,6:00 PM,Kerala,3,0,3,0,3
59,07-03-2020,6:00 PM,Uttar Pradesh,7,0,0,0,7
60,07-03-2020,6:00 PM,Ladakh,2,0,0,0,2
61,07-03-2020,6:00 PM,Telengana,1,0,0,0,1
62,07-03-2020,6:00 PM,Tamil Nadu,1,0,0,0,1
63,07-03-2020,6:00 PM,Delhi,3,0,0,0,3
64,07-03-2020,6:00 PM,Haryana,0,2,0,0,2
65,07-03-2020,6:00 PM,Rajasthan,1,14,0,0,15
66,08-03-2020,6:00 PM,Ladakh,2,0,0,0,2
67,08-03-2020,6:00 PM,Telengana,1,0,0,0,1
68,08-03-2020,6:00 PM,Tamil Nadu,1,0,0,0,1
69,08-03-2020,6:00 PM,Rajasthan,1,14,0,0,15
70,08-03-2020,6:00 PM,Kerala,8,0,3,0,8
71,08-03-2020,6:00 PM,Haryana,0,2,0,0,2
72,08-03-2020,6:00 PM,Delhi,3,0,0,0,3
73,08-03-2020,6:00 PM,Uttar Pradesh,7,0,0,0,7
74,09-03-2020,6:00 PM,Ladakh,2,0,0,0,2
75,09-03-2020,6:00 PM,Karnataka,1,0,0,0,1
76,09-03-2020,6:00 PM,Kerala,9,0,3,0,9
77,09-03-2020,6:00 PM,Maharashtra,2,0,0,0,2
78,09-03-2020,6:00 PM,Punjab,1,0,0,0,1
79,09-03-2020,6:00 PM,Rajasthan,1,14,0,0,15
80,09-03-2020,6:00 PM,Tamil Nadu,1,0,0,0,1
81,09-03-2020,6:00 PM,Telengana,1,0,0,0,1
